# -*- encoding: utf-8 -*-
#
# Ranges to be excluded from CM21 data
#
# Natsis Athanasios <natsisthanasis@gmail.com>
# 2021-12-23
#
# Dates in UTC
# The from date is excluded, the until date is kept
# (start <= time < end)
# Start: 2006-01-01
#

## all day ranges
From;                Until;               Comment

# 2016-07-04 9:40LC start roof constructions

# 2017-05-23 06:33;    2017-05-14 06:34;    shades from cleaning
# 2017-05-23 12:55;    2017-05-14 15:58;    disconnection
# 2017-05-23 14:55;    2017-05-14 14:58;    disconnection
# 2017-05-23 16:55;    2017-05-14 16:58;    disconnection
2006-02-11 00:00;    2006-02-11 23:59;    missing file
2006-02-12 00:00;    2006-02-12 23:59;    missing file
2006-04-29 00:00;    2006-04-29 23:59;    missing file
2006-04-30 00:00;    2006-04-30 23:59;    missing file
2006-05-26 15:21;    2006-05-26 15:48;    undefined problem erratic data observed
2006-05-27 00:00;    2006-05-27 23:59;    missing file
2006-05-28 00:00;    2006-05-28 23:59;    missing file
2006-06-08 00:00;    2006-06-08 23:59;    stub file no usable data
2006-06-13 00:00;    2006-06-13 23:59;    missing file
2006-06-14 00:00;    2006-06-14 23:59;    missing file
2006-06-15 00:00;    2006-06-15 23:59;    missing file
2006-08-24 00:00;    2006-08-24 23:59;    missing file
2006-10-07 00:00;    2006-10-07 23:59;    missing file
2006-10-08 00:00;    2006-10-08 23:59;    missing file
2006-10-28 00:00;    2006-10-28 23:59;    missing file
2006-11-12 00:00;    2006-11-12 23:59;    missing file
2006-12-08 00:00;    2006-12-08 23:59;    missing file
2006-12-09 00:00;    2006-12-09 23:59;    missing file
2006-12-10 00:00;    2006-12-10 23:59;    missing file
2006-12-11 00:00;    2006-12-11 23:59;    missing file
2006-12-12 00:00;    2006-12-12 23:59;    missing file
2006-12-24 00:00;    2006-12-24 23:59;    broken sequence
2006-12-25 00:00;    2006-12-25 23:59;    broken sequence
2006-12-26 00:00;    2006-12-26 23:59;    stub file no usable data
2006-12-28 00:00;    2006-12-28 23:59;    broken sequence
2006-12-29 00:00;    2006-12-29 23:59;    broken sequence
2006-12-30 00:00;    2006-12-30 23:59;    broken sequence
2006-12-31 00:00;    2006-12-31 23:59;    stub file no usable data
2007-01-01 00:00;    2007-01-01 23:59;    broken sequence no usable data
2007-01-02 00:00;    2007-01-02 23:59;    broken sequence no usable data
2007-01-03 00:00;    2007-01-03 23:59;    broken sequence no usable data
2007-01-04 00:00;    2007-01-04 23:59;    broken sequence no usable data
2007-01-05 00:00;    2007-01-05 23:59;    broken sequence no usable data
2007-01-06 00:00;    2007-01-06 23:59;    missing file
2007-01-07 00:00;    2007-01-07 23:59;    missing file
2007-01-08 00:00;    2007-01-08 23:59;    range of bad data and timing
2007-01-09 00:00;    2007-01-09 23:59;    range of bad data and timing
2007-01-10 00:00;    2007-01-10 23:59;    range of bad data and timing
2007-01-11 00:00;    2007-01-11 23:59;    range of bad data and timing
2007-01-12 00:00;    2007-01-12 23:59;    range of bad data and timing
2007-01-13 00:00;    2007-01-13 23:59;    stub file no usable data
2007-01-14 00:00;    2007-01-14 23:59;    stub file no usable data
2007-01-15 00:00;    2007-01-15 23:59;    range of bad data and timing
2007-01-16 00:00;    2007-01-16 23:59;    range of bad data and timing
2007-01-17 00:00;    2007-01-17 23:59;    range of bad data and timing
2007-01-18 00:00;    2007-01-18 23:59;    range of bad data and timing
